HJD,HJD_Error,Note,BJD,Cycle_obs,Cycle_cal,O-C,OC_Error
2456644.058050 ,0.000140 ,20131217-1m,2456644.058825 ,29386.999760 ,29387.000000 ,-0.000033 ,0.000140 
2456652.016750 ,0.000070 ,20131225-1m,2456652.017525 ,29443.995262 ,29444.000000 ,-0.000662 ,0.000070 
2456665.003300 ,0.000140 ,20140107-1m,2456665.004076 ,29536.997252 ,29537.000000 ,-0.000384 ,0.000140 
2457402.988070 ,0.000030 ,20160115-1m,2457402.988881 ,34822.007663 ,34822.000000 ,0.001070 ,0.000030 
2457716.194750 ,0.000020 ,20161123-1m,2457716.195566 ,37065.008647 ,37065.000000 ,0.001207 ,0.000020 
2456293.987590 ,0.000230 ,20130101-60cm,2456293.988354 ,26880.002189 ,26880.000000 ,0.000306 ,0.000230 
2456305.018950 ,0.000140 ,20130112-60cm,2456305.019715 ,26959.002265 ,26959.000000 ,0.000316 ,0.000140 
2456281.001960 ,0.000240 ,20121219-60cm,2456281.002724 ,26787.006788 ,26787.000000 ,0.000948 ,0.000240 
2457278.152670 ,0.000040 ,20150912-2.16m,2457278.153477 ,33928.010368 ,33928.000000 ,0.001448 ,0.000040 
2457280.247070 ,0.000020 ,20150914-2.16m,2457280.247877 ,33943.009222 ,33943.000000 ,0.001288 ,0.000020 
2458112.066220 ,0.000040 ,20171224-thai2.4m,2458112.067047 ,39900.005961 ,39900.000000 ,0.000832 ,0.000040 
2454853.068270 ,0.000030 ,20090121-2.4m,2454853.069039 ,16560.990310 ,16561.000000 ,-0.001353 ,0.000030 
2455549.998520 ,0.000020 ,20101219-2.4m,2455549.999269 ,21551.992533 ,21552.000000 ,-0.001043 ,0.000020 
2454814.109500 ,0.000140 ,20081213-85cm,2454814.110259 ,16281.990643 ,16282.000000 ,-0.001307 ,0.000140 
2458516.036750 ,0.000030 ,20190201-70CM,2458516.037568 ,42793.003952 ,42793.000000 ,0.000552 ,0.000030 
2458795.031250 ,0.000080 ,20191107-70cm,2458795.032057 ,44790.997538 ,44791.000000 ,-0.000344 ,0.000080 
2458844.183660 ,0.000010 ,20191226-2.4thai,2458844.184465 ,45142.998025 ,45143.000000 ,-0.000276 ,0.000010 
2459173.029030 ,0.000030 ,20201119-1m,2459173.029820 ,47497.994056 ,47498.000000 ,-0.000830 ,0.000030 
2459176.100680 ,0.000040 ,20201122-1m,2459176.101470 ,47519.991396 ,47520.000000 ,-0.001201 ,0.000040 
2460281.051830 ,0.000020 ,20231202-85cm,2460281.052586 ,55432.997964 ,55433.000000 ,-0.000284 ,0.000020 
2460287.056050 ,0.000030 ,20231208-85cm,2460287.056806 ,55475.996636 ,55476.000000 ,-0.000470 ,0.000030 
2460288.033190 ,0.000130 ,20231209-85cm,2460288.033946 ,55482.994335 ,55483.000000 ,-0.000791 ,0.000130 
2454061.463320 ,0.000140 ,Boyd_D.2023JAAVSO,2454061.464098 ,10891.983885 ,10892.000000 ,-0.002250 ,0.000140 
2454081.292190 ,0.000160 ,Boyd_D.2023JAAVSO,2454081.292967 ,11033.986523 ,11034.000000 ,-0.001882 ,0.000160 
2454086.458480 ,0.000080 ,Boyd_D.2023JAAVSO,2454086.459257 ,11070.984437 ,11071.000000 ,-0.002173 ,0.000080 
2455106.370360 ,0.000380 ,Boyd_D.2023JAAVSO,2455106.371120 ,18374.990053 ,18375.000000 ,-0.001389 ,0.000380 
2455188.477290 ,0.000300 ,Boyd_D.2023JAAVSO,2455188.478048 ,18962.991320 ,18963.000000 ,-0.001212 ,0.000300 
2455191.270070 ,0.000190 ,Boyd_D.2023JAAVSO,2455191.270828 ,18982.991558 ,18983.000000 ,-0.001179 ,0.000190 
2455460.490990 ,0.000130 ,Boyd_D.2023JAAVSO,2455460.491741 ,20910.992546 ,20911.000000 ,-0.001041 ,0.000130 
2455533.382060 ,0.000220 ,Boyd_D.2023JAAVSO,2455533.382809 ,21432.995275 ,21433.000000 ,-0.000660 ,0.000220 
2455827.458600 ,0.000140 ,Boyd_D.2023JAAVSO,2455827.459347 ,23538.997511 ,23539.000000 ,-0.000348 ,0.000140 
2455835.417760 ,0.000160 ,Boyd_D.2023JAAVSO,2455835.418507 ,23595.996307 ,23596.000000 ,-0.000516 ,0.000160 
2455836.395180 ,0.000100 ,Boyd_D.2023JAAVSO,2455836.395927 ,23602.996011 ,23603.000000 ,-0.000557 ,0.000100 
2459914.363880 ,0.000210 ,Boyd_D.2023JAAVSO,2459914.364640 ,52806.995759 ,52807.000000 ,-0.000592 ,0.000210 
2459921.346280 ,0.000250 ,Boyd_D.2023JAAVSO,2459921.347040 ,52856.999578 ,52857.000000 ,-0.000059 ,0.000250 
2459928.328010 ,0.000180 ,Boyd_D.2023JAAVSO,2459928.328770 ,52906.998598 ,52907.000000 ,-0.000196 ,0.000180 
2453618.953100 ,0.000200 ,Warren2006PASP,2453618.953866 ,7722.987430 ,7723.000000 ,-0.001755 ,0.000200 
2453669.780100 ,0.000200 ,Warren2006PASP,2453669.780867 ,8086.980341 ,8087.000000 ,-0.002745 ,0.000200 
2453670.757600 ,0.000200 ,Warren2006PASP,2453670.758367 ,8093.980617 ,8094.000000 ,-0.002707 ,0.000200 
2453678.717100 ,0.000200 ,Warren2006PASP,2453678.717867 ,8150.981848 ,8151.000000 ,-0.002535 ,0.000200 
2453678.856400 ,0.000200 ,Warren2006PASP,2453678.857167 ,8151.979433 ,8152.000000 ,-0.002872 ,0.000200 
2453679.695000 ,0.000200 ,Warren2006PASP,2453679.695767 ,8157.984990 ,8158.000000 ,-0.002096 ,0.000200 
2453679.833900 ,0.000200 ,Warren2006PASP,2453679.834667 ,8158.979709 ,8159.000000 ,-0.002833 ,0.000200 
2453680.811000 ,0.000200 ,Warren2006PASP,2453680.811767 ,8165.977122 ,8166.000000 ,-0.003195 ,0.000200 
2453696.591300 ,0.000200 ,Warren2006PASP,2453696.592067 ,8278.986296 ,8279.000000 ,-0.001914 ,0.000200 
2453696.730500 ,0.000200 ,Warren2006PASP,2453696.731267 ,8279.983164 ,8280.000000 ,-0.002351 ,0.000200 
2453702.595200 ,0.000200 ,Warren2006PASP,2453702.595967 ,8321.982677 ,8322.000000 ,-0.002419 ,0.000200 
2453702.734700 ,0.000200 ,Warren2006PASP,2453702.735467 ,8322.981693 ,8323.000000 ,-0.002556 ,0.000200 
2453703.712200 ,0.000200 ,Warren2006PASP,2453703.712967 ,8329.981970 ,8330.000000 ,-0.002518 ,0.000200 
2453703.851900 ,0.000200 ,Warren2006PASP,2453703.852667 ,8330.982419 ,8331.000000 ,-0.002455 ,0.000200 
2453704.689300 ,0.000200 ,Warren2006PASP,2453704.690067 ,8336.979382 ,8337.000000 ,-0.002879 ,0.000200 
2453704.829600 ,0.000200 ,Warren2006PASP,2453704.830367 ,8337.984128 ,8338.000000 ,-0.002216 ,0.000200 
2453705.667100 ,0.000200 ,Warren2006PASP,2453705.667867 ,8343.981808 ,8344.000000 ,-0.002540 ,0.000200 
2453705.806700 ,0.000200 ,Warren2006PASP,2453705.807467 ,8344.981540 ,8345.000000 ,-0.002578 ,0.000200 
2453725.634600 ,0.000200 ,Warren2006PASP,2453725.635367 ,8486.977232 ,8487.000000 ,-0.003179 ,0.000200 
2453726.612800 ,0.000200 ,Warren2006PASP,2453726.613567 ,8493.982522 ,8494.000000 ,-0.002441 ,0.000200 
2453726.752300 ,0.000200 ,Warren2006PASP,2453726.753067 ,8494.981538 ,8495.000000 ,-0.002578 ,0.000200 
